Colonne1;year;record_number;pages;catalogue_title;authors
59709;1967;1443;[30, 31];The Study of animal behaviour;Oppenheimer, Jane
33144;1966;1614;[14, 15, 16, 17, 18, 23];New outposts of science;Fedorov, Evgueni
78226;1967;2297;[4, 5, 6, 7, 8, 36];Birth of a new Africa;D'Arboussier, Gabriel
33144;1966;2579;[24, 25, 26, 27, 28, 29];Two decades in the world of education;Elvin, Herbert Lionel
78226;1967;3345;[8, 9, 10, 11, 12, 13];The Scientific study of Africa's history;Dike, Kenneth Onwuka
33144;1966;3728;[30, 31, 34, 35, 74];Two decades in the world of culture;Arciniegas, German
78226;1967;4290;[14, 15, 16];African architecture old and new;
33144;1966;4362;[32, 33];History of mankind;
78226;1967;4581;[16, 17, 18, 19];The Protection of Africa's artistic heritage;Eyo, Ekpo Okpo
33144;1966;4597;[36, 37, 38, 39];Two decades in the world of the mass media;Lindsay, Robert|Nixon, Raymond B.
78226;1967;5112;[20, 21];Africa 1967: independent States;
33144;1966;5211;[40, 41, 42, 43, 44];Two decades in the world of social science;Myrdal, Alva
78226;1967;6274;[22, 23, 24, 25, 26, 27, 28];Trends in present-day African literature;Mphahlele, Ezekiel
33144;1966;6357;[44, 45];"Military credits freed for knowledge; historic decision by Iran";
78226;1967;6706;[28, 29, 30, 31, 32];Vernacular languages in a changing society;Diagne, Pathé
33144;1966;6980;[46, 47, 48, 49];Peace begins in the minds of men;Maritain, Jacques|UNESCO. Director-General, 1962-1974 (Maheu, R.)|Huxley, Julian|Niebuhr, Reinhold|Montessori, Maria|Torres Bodet, Jaime|Evans, Luther H.|Veronese, Vittorino|Nehru, Jawaharlal|Sissakian, Norajr Martirosovich|El Fasi, Mohammed
78226;1967;7518;[33, 34, 35, 36];Today's schools prepare tomorrow's African scientists;Otieno, Nicholas C.
33144;1966;7578;[50, 51];The Stamp of UNESCO;
78367;1967;8893;[4, 5, 6, 7];Down with decibels;Schenker-Sprüngli, O.
33144;1966;9008;[52, 53, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73];UNESCO in 50 questions;
78367;1967;9901;[12, 13, 14, 15, 16, 17, 18, 19, 20];Street and air traffic noise pollution, and what we can do about it;Beranek, Leo L.
14256;1966;9902;[4, 5, 6, 7, 10];Messages to the stars;Mercer, D.M.A.
33144;1966;9917;[54, 55, 56, 57, 58, 59];How youngsters see UNESCO;
78367;1967;11868;[21, 22];Cordoba (Argentina) takes noise pollution abatement by the horns;Fuchs, G.L.
14256;1966;11936;[8, 9];Distant galaxies caught in a steel mesh;
33144;1966;12008;[59, 60, 61];The New architecture of UNESCO;
78367;1967;12619;[22, 23, 24, 25];Echoes from our noisy world;
14256;1966;12625;[11, 12, 13, 14, 15];New patterns of transport for Africa;Owens, W.H.
78367;1967;13261;[26, 27, 28, 29, 30, 31];Noise and health: studies have shown that continued exposure to noise pollution not only causes damage to the ear, but can have other harmful effects;Lehmann, Gunther
14256;1966;13327;[16, 17, 18, 19, 20, 21];Dante: the primacy of poetry;Ehrenburg, Ilya
12656;1966;13356;[7, 8];Señorita Luciana, teacher in the High Andes;
12656;1966;14257;[11, 12, 13, 14, 15, 32];"Ungathered harvests in the ocean; man's vast potential food reserve";Laing, Mack
14255;1967;15004;[5, 6, 7, 8, 9];Inquiry into a disarmed world;Vienna Centre
14256;1966;15029;[27, 28, 29, 30];Beauty and the beast: man through his art;Bentley, Pauline
12656;1966;15043;[16, 17, 18, 19, 20, 21];Bronze miniatures from ancient Sardinia;Borio, Antonio
14255;1967;15422;[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 58, 59, 60, 61, 62, 63];Science and disarmament;Noel-Baker, Philip
12656;1966;15498;[22, 23, 24, 25, 26, 27, 28];The Years of the quiet sun;Pushkov, Nicolai|Silkin, Boris
14255;1967;16045;[22, 23, 24, 25, 26, 27];The Challenge of peace;Ardatovsky, Vadim
15480;1966;16116;[10, 11, 12, 13, 14, 15];To be or not to be: that will be the question;Sen, Binay Ranjan
12656;1966;16256;[29, 30, 31];United Nations Day, 1966: the world's refugees;Zarjevski, Yefime
14255;1967;16538;[28, 29, 30, 31, 32, 33, 34, 35, 36];"Development, new name for peace; Encyclical Letter of His Holiness Pope Paul VI";Paul VI, Pope
15480;1966;16609;[16, 17, 18, 19];Tales of many cities;
14255;1967;16923;[36, 37, 38, 39];To build a new order in the world;UNESCO. Director-General, 1962-1974 (Maheu, R.)
15480;1966;16924;[21, 22, 23];The World is heading for a collision;Myrdal, Gunnar
16653;1966;16925;[12, 13, 14, 15, 31];The Controversy on continental drift;Behrman, Daniel
14255;1967;17421;[40, 41, 42, 43, 44, 45];Kuboyama and the saga of the 'Lucky Dragon';Hudson, Richard
15480;1966;17518;[24, 25, 26];Hong Kong, a thirsty city;Owens, W.H.
16653;1966;17602;[20, 21, 22, 23, 24];New ways to explore the planets;Pickering, William H.
14255;1967;18267;[46, 47, 48, 50, 51];Man does not live by politics alone;Nehru, Jawaharlal
15480;1966;18411;[27, 28, 29];Our pint-size ancestors;Vlastovsky, Vladimir
16653;1966;18425;[25, 26, 27];Soseki, the most popular writer in Japan;
14255;1967;18848;[52, 53, 54, 55, 56, 57];Tistou of the green fingers;Druon, Maurice
15480;1966;18868;[30];To all young people twenty years old: a message from René Maheu, Director-General of UNESCO, for the New Year 1966;UNESCO. Director-General, 1962-1974 (Maheu, R.)
16653;1966;18915;[28, 29, 30];Rustaveli and 'The Knight in the tiger's skin';Abashidze, Irakle
14255;1967;18950;[64, 65, 66];UNESCO and the search for peace;
15480;1966;18951;[31];U.N. Charter for youth;
16653;1966;18953;[30, 31];A Statement by eleven distinguished geophysicists;
78370;1967;19208;[4, 5, 6, 7, 8, 9, 10, 11, 12, 13];The Menace of 'extinct' volcanoes;Tazieff, Haroun
78362;1966;19225;[4, 5, 6, 7, 8];Europe's expanding nuclear research centre;Wilde, M.S.
20805;1966;19236;[4, 5, 6, 7, 8, 9, 10, 11];Television for the pre-school child;Cassirer, Henry R.
78370;1967;19761;[14, 15, 16, 17, 18, 19, 20];"Marie Curie; the life of a woman dedicated to science";
78362;1966;19769;[10, 11, 14, 15];"Peru's coastal deserts; land of three great cultures";Meigs, Peveril
20805;1966;19865;[12, 13, 14, 15, 16];Reading habits and book publishing in Asia;Insha, Ibne
78370;1967;20767;[16, 17];The Rarest, most precious vital force;Curie, Marie
78362;1966;20802;[16, 17, 18, 19];For children only;
78370;1967;20886;[20, 21, 22];Maria Sklodowska, the dreamer in Warsaw;Infeld, Leopold
78362;1966;20890;[20, 21, 22];The Amber routes of antiquity;Grzedzielski, Wladyslaw
20805;1966;20892;[24, 25, 26, 27, 28, 29];The World of the communications satellite;Clarke, Arthur C.
78370;1967;21124;[22, 23, 24];The Woman we called 'la patronne';Perey, Marguerite
