year;courier_id;filename;time;ocr;unindexed;comments;
1947;146744;tagged_1947_146744;;;;;
1948;73649;tagged_1948_073649;;;;;
1948;73683;tagged_1948_073683;;;;;
1948;73713;tagged_1948_073713;;;;;
1948;73741;tagged_1948_073741;;;;;
1948;73774;tagged_1948_073774;;;;;
1948;73790;tagged_1948_073790;;;;;
1948;73809;tagged_1948_073809;;;;;
1948;73829;tagged_1948_073829;;;;;
1948;73850;tagged_1948_073850;;;;;
1948;73867;tagged_1948_073867;;;;;
1949;73886;tagged_1949_073886;;;;;
1949;73912;tagged_1949_073912;;;;;
1949;73938;tagged_1949_073938;;;;;
1949;73956;tagged_1949_073956;;;;;
1949;73970;tagged_1949_073970;;;;;
1949;73993;tagged_1949_073993;;;;;
1949;74013;tagged_1949_074013;;;;;
1949;74029;tagged_1949_074029;;;;;
1949;74055;tagged_1949_074055;;;;;
1949;74116;tagged_1949_074116;;;;;
1949;74130;tagged_1949_074130;;;;;
1949;74184;tagged_1949_074184;;;;;
1950;74946;tagged_1950_074946;;;;;
1950;74968;tagged_1950_074968;;;;;
1950;74977;tagged_1950_074977;;;;;
1950;81286;tagged_1950_081286;;;;;
1950;81370;tagged_1950_081370;;;;;
1950;81400;tagged_1950_081400;;;;;
1950;81475;tagged_1950_081475;;;;;
1950;81543;tagged_1950_081543;;;;;
1950;81564;tagged_1950_081564;;;;;
1950;81592;tagged_1950_081592;;;;;
1950;81616;tagged_1950_081616;;;;;
1951;71298;tagged_1951_071298;;;;;
1951;71299;tagged_1951_071299;;;;;
1951;72098;tagged_1951_072098;;;;;
1951;73516;tagged_1951_073516;;;;;
1951;73537;tagged_1951_073537;;;;;
1951;73557;tagged_1951_073557;;;;;
1951;74589;tagged_1951_074589;;;;;
1951;74639;tagged_1951_074639;;;;;
1951;74672;tagged_1951_074672;;;;;
1951;74673;tagged_1951_074673;;;;;
1951;74696;tagged_1951_074696;;;;;
1952;70450;tagged_1952_070450;x;;6,7,8,9,10;periodical issue;
1952;70922;tagged_1952_070922;x;;13,14,15;periodical issue, editorial;
1952;70990;tagged_1952_070990;x;3;3,4,5;periodical issue;
1952;71048;tagged_1952_071048;x;;;;
1952;71059;tagged_1952_071059;x;;;;
1952;71076;tagged_1952_071076;x;14;4;;
1952;71135;tagged_1952_071135;x;11;;;
1952;71148;tagged_1952_071148;x;;;;
1952;71276;tagged_1952_071276;x;;7,8,9,10,11;periodical issue;
1952;73310;tagged_1952_073310;x;;;editorial;
1952;73487;tagged_1952_073487;x;;;editorial;"1. Det finns en bilaga till utgåvan. Finns sist i pdf:en men i metafilen refereras till sidor som tolkas/refereras till ""huvudtidningen"", inte  till bilagan på rätt sätt (bilagan har dessutom inga sidnr). Fem artikelrubriker flyttade). 2. På sid 19 och 20 finns en kolumn som är kapad mitt i (halva på vardera sidan i uppslaget)"
1953;70144;tagged_1953_070144;10;;7,8,9;periodical issue;
1953;70186;tagged_1953_070186;15;;10,11,12;periodical issue;
1953;70196;tagged_1953_070196;10;;;;Se bild i worddokumentet
1953;70219;tagged_1953_070219;8;;8,9;periodical issue;
1953;70232;tagged_1953_070232;5;;;;
1953;70250;tagged_1953_070250;8;;;;s8 Delad kolumn
1953;70268;tagged_1953_070268;x;;;;
1953;70452;tagged_1953_070452;x;;;;
1953;70568;tagged_1953_070568;x;;;;
1953;70841;tagged_1953_070841;x;;;;
1953;70862;tagged_1953_070862;x;;;editorial;
1954;69904;tagged_1954_069904;13;;;editorial;
1954;69916;tagged_1954_069916;10;;;editorial;
1954;69962;tagged_1954_069962;x;;;editorial;
1954;69982;tagged_1954_069982;x;;;;
1954;70030;tagged_1954_070030;x;30, 31;;editorial;
1954;70070;tagged_1954_070070;x;;;editorial;
1954;70091;tagged_1954_070091;x;;;editorial;
1954;70464;tagged_1954_070464;x;;;editorial;
1954;78140;tagged_1954_078140;x;;;editorial;
1954;78141;tagged_1954_078141;x;4;;editorial;
1955;68948;tagged_1955_068948;x;;;editorial;### 68942: Forgotten shadows: the cinema and its origins Står sid 5-7 i metadata men i själva verket är det 5-7 + 9-11, 13, 15-16, 18-19
1955;68956;tagged_1955_068956;x;;;editorial;
1955;68976;tagged_1955_068976;x;;;editorial;
1955;68988;tagged_1955_068988;x;;;editorial;
1955;69011;tagged_1955_069011;;;;editorial;
1955;69029;tagged_1955_069029;15;;;editorial;
1955;69080;tagged_1955_069080;25;;;editorial;"### Triangles and circles with magic meaning continues on page 65, this is not in the metadata. They call this edition a ""special edition"""
1955;69729;tagged_1955_069729;20;;;editorial ;On page 15, some text not OCRed (white text on light background). 
1955;69853;tagged_1955_069853;20;;;editorial;
1955;78145;tagged_1955_078145;15;;;editorial;
1956;68278;tagged_1956_068278;10;;;editorial;
1956;68623;tagged_1956_068623;12;;5,7,8;editorial;editorial is considered an article
1956;68778;tagged_1956_068778;15;;;editorial;editorial is considered an article
1956;68829;tagged_1956_068829;15;;15,16;editorial;
1956;68909;tagged_1956_068909;15;;;editorial;
1956;68910;tagged_1956_068910;20;;;editorial;special edition. On page 46, some text not OCRD (caption)
1956;68941;tagged_1956_068941;15;;7 to 11;editorial;With these two hands non indexed
1956;78148;tagged_1956_078148;10;;;editorial;
1956;78150;tagged_1956_078150;10;;;editorial;
1956;78152;tagged_1956_078152;10;;;editorial;p. 19 text not OCRed
1957;66970;tagged_1957_066970;10;;;editorial;
1957;67211;tagged_1957_067211;10;;;editorial;
1957;67218;tagged_1957_067218;10;;4,5,6,7,8,9,10;editorial;Article about a woman's life non inndexed. In the article title file, there is a part 2 for this article in another issue of Courier
1957;67562;tagged_1957_067562;10;;4,5,6;editorial;Non-indexed article, Great Littérature of East and West
1957;67587;tagged_1957_067587;15;;;editorial;unsure if p.31 should be included or not 
1957;67651;tagged_1957_067651;10;;4,6,8,9,10;editorial;
1957;67949;tagged_1957_067949;10;;24,25,26;editorial;
1957;67956;tagged_1957_067956;15;;4 to 15;editorial;Non-indexed article on Comenius. Text non OCRed p.31
1957;68051;tagged_1957_068051;12;;;;
1957;68057;tagged_1957_068057;15;;;editorial;
1957;78160;tagged_1957_078160;10;;;editorial;
1957;78347;tagged_1957_078347;10;;;;
1958;66121;tagged_1958_066121;10;;;editorial;
1958;66142;tagged_1958_066142;10;;8, 14-24;editorial;Young artists in Paris non indexed, Schools for Gypsies non indexed
1958;66148;tagged_1958_066148;8;;;;### 66157: Galapagos: wonders of a Noah's Ark off the coast of Ecuador starts on page 18. Caption of ### 66161: Stamp collectors' wildlife album starts on 32
1958;66182;tagged_1958_066182;10;;4 to 7;editorial;Ten years of progress non-indexed. Text non-OCRed p.4-5
1958;66222;tagged_1958_066222;10;;14-24;;Masterworks of Japan's Stone Age Art non-indexed
1958;66244;tagged_1958_066244;7;;14-19;editorial;From the neck up unindexed
1958;66266;tagged_1958_066266;12;;8,9;editorial;There is no page 18 on the issue? After page 18, page numbers are incorrect Text non OCRed p.21
1958;66285;tagged_1958_066285;7;;;editorial;
1958;66651;tagged_1958_066651;7;;10,11,23,24,25,26.31;;This issue has lots of small articles that are not indexed. I'm unsure of how to treat this issue as some are very small, and it is unclear if they belong to the article before or not
1958;78161;tagged_1958_078161;8;;;editorial;
1958;78349;tagged_1958_078349;6;;;editorial;
1958;78350;tagged_1958_078350;8;;;editorial;
1959;64895;tagged_1959_064895;8;;14,16,17;editorial;Birth of an island non indexed
1959;64933;tagged_1959_064933;10;;;editorial;### 64915: Science, technology and man starts on p.4 not 5
1959;65221;tagged_1959_065221;10;;10 to 20;editorial;Article about film making non-indexed
1959;65278;tagged_1959_065278;7;;10 to 20;;Article about Rotterdam non-indexed
1959;66059;tagged_1959_066059;7;;6,7,8;;40 years fo struggle on behalf os social justice non-indexed
1959;66107;tagged_1959_066107;9;;18 to 23;;Liliput Paris non-indexed
1959;66613;tagged_1959_066613;7;;;;
1959;66675;tagged_1959_066675;10;;;;
1959;78165;tagged_1959_078165;6;;;editorial;
1959;78166;tagged_1959_078166;8;;;editorial;### 65244: Art and the troubled mind continues to page 30
1959;78417;tagged_1959_078417;8;;;;
1960;64515;tagged_1960_064515;6;;;;
1960;64522;tagged_1960_064522;10;;;;
1960;64690;tagged_1960_064690;8;;;;
1960;64692;tagged_1960_064692;13;;;;Double edition
1960;64696;tagged_1960_064696;12;;;;
1960;64724;tagged_1960_064724;10;;;;
1960;64888;tagged_1960_064888;7;;;;
1960;78175;tagged_1960_078175;7;;;;
1960;78176;tagged_1960_078176;6;;;;
1960;78332;tagged_1960_078332;9;;;;
1960;78452;tagged_1960_078452;6;;;;
1961;35706;tagged_1961_035706;8;;;;
1961;63808;tagged_1961_063808;8;;4-7,12,13;;REBIRTH OF A SHATTERED CITY non-indexed
1961;63847;tagged_1961_063847;9;;4 to 13;;Article on André Maurois and libraries non-indexed
1961;64074;tagged_1961_064074;8;;;;### 63883: Modern architecture, triumph of Latin America continues 23-24
1961;64092;tagged_1961_064092;14;;4 to 23;;Double edition. Art in the life of man non-indexed
1961;64240;tagged_1961_064240;9;;4,5,6;;Article on Abu Simbel non-indexed
1961;64255;tagged_1961_064255;10;;12 to 17;;Crisis in Anthropology non-indexed
1961;64331;tagged_1961_064331;9;;;;
1961;64591;tagged_1961_064591;10;;;editorial;
1961;78178;tagged_1961_078178;8;;;;
1961;78179;tagged_1961_078179;8;;;;
1962;63456;tagged_1962_063456;;;9 to 14;;International land of science non-indexed. Page 15 missing. What to do?
1962;63659;tagged_1962_063659;10;;4 to 9;;Nature's hidden languages of smell non-indexed
1962;63738;tagged_1962_063738;25;;;editorial;editorial as article
1962;78133;tagged_1962_078133;10;;;;
1962;78187;tagged_1962_078187;7;;;;
1962;78189;tagged_1962_078189;5;;;;
1962;78193;tagged_1962_078193;5;;;;
1962;78194;tagged_1962_078194;4;;;;
1962;78285;tagged_1962_078285;4;;;;
1962;78286;tagged_1962_078286;7;;;;
1962;78354;tagged_1962_078354;6;;;;
1963;62404;tagged_1963_062404;5;;;;
1963;62672;tagged_1963_062672;5;;4 to 13;;A study in ignorance and prejudice non-indexed
1963;62706;tagged_1963_062706;4;;;;
1963;62935;tagged_1963_062935;5;;;;
1963;63381;tagged_1963_063381;6;;12 to 14;;Stanislavsky revolutionary of the modern theatre non-indexed
1963;63436;tagged_1963_063436;8;;;;### 63291: The Promise of nuclear energy starts on 14, ### 63303: A Face-lift for the science curriculum on 34-35
1963;63437;tagged_1963_063437;7;;;;### 63368: Wanted: more quake-proof buildings starts on 30
1963;63446;tagged_1963_063446;5;;;;
1963;78196;tagged_1963_078196;6;;;;
1963;78200;tagged_1963_078200;5;;;;
1963;78356;tagged_1963_078356;5;;;;### 63350: Movement and light in today's art continues on 23
1964;61386;tagged_1964_061386;5;;15 to 19;;Article about lasers non-indexed
1964;61468;tagged_1964_061468;14;;4 to 23;;The art of writing non-indexed
1964;61952;tagged_1964_061952;8;;24-28,30;;### 61951: The London that was Shakespeare's starts on 14. Galileo Galilei: a new vision of the universe non-indexed
1964;61953;tagged_1964_061953;5;;;;
1964;62188;tagged_1964_062188;11;;;;
1964;62195;tagged_1964_062195;7;;;;
1964;62313;tagged_1964_062313;10;;;;
1964;62315;tagged_1964_062315;10;;;;### 62396: Arms cost the world USD120 thousand million per year stops on page 5, not 17, and doesn't appear on page 20-26, and 29-33!
1964;62384;tagged_1964_062384;7;;;;
1964;62393;tagged_1964_062393;7;;;;
