Year;% error;
1947;0,080739492;Between 5–10 % error-rate
1948;0,019360269;Between 1–5 % error-rate
1949;0,008064516;Below 1 % error-rate
1950;0,024390244;Between 1–5 % error-rate
1951;0,007377208;Below 1 % error-rate
1952;0,016227842;Between 1–5 % error-rate
1953;0,005555556;Below 1 % error-rate
1954;0,004237288;Below 1 % error-rate
1955;0;Below 1 % error-rate
1956;0;Below 1 % error-rate
1957;0;Below 1 % error-rate
1958;0;Below 1 % error-rate
1959;0,011363636;Between 1–5 % error-rate
1960;0,004672897;Below 1 % error-rate
1961;0;Below 1 % error-rate
1962;0;Below 1 % error-rate
1963;0,008849558;Below 1 % error-rate
1964;0,008954269;Below 1 % error-rate
1965;0;Below 1 % error-rate
1966;0,005263158;Below 1 % error-rate
1967;0,007518797;Below 1 % error-rate
1968;0,005376344;Below 1 % error-rate
1969;0,005208333;Below 1 % error-rate
1970;0,004231567;Below 1 % error-rate
1971;0,004854369;Below 1 % error-rate
1972;0;Below 1 % error-rate
1973;0,003144654;Below 1 % error-rate
1974;0,011255411;Between 1–5 % error-rate
1975;0;Below 1 % error-rate
1976;0,003968254;Below 1 % error-rate
1977;0;Below 1 % error-rate
1978;0;Below 1 % error-rate
1979;0;Below 1 % error-rate
1980;0;Below 1 % error-rate
1981;0;Below 1 % error-rate
1982;0,006024096;Below 1 % error-rate
1983;0;Below 1 % error-rate
1984;0;Below 1 % error-rate
1985;0;Below 1 % error-rate
1986;0;Below 1 % error-rate
1987;0;Below 1 % error-rate
1988;0,004761905;Below 1 % error-rate
1989;0;Below 1 % error-rate
1990;0,004464286;Below 1 % error-rate
1991;0,004201681;Below 1 % error-rate
1992;0;Below 1 % error-rate
1993;0;Below 1 % error-rate
1994;0;Below 1 % error-rate
1995;0;Below 1 % error-rate
1996;0,004098361;Below 1 % error-rate
1997;0;Below 1 % error-rate
1998;0,022727273;Between 1–5 % error-rate
1999;0,017006803;Between 1–5 % error-rate
2000;0,027529318;Between 1–5 % error-rate
2001;0,034875727;Between 1–5 % error-rate
2002;0;Below 1 % error-rate
2003;0,011759235;Between 1–5 % error-rate
2004;0,046052632;Between 1–5 % error-rate
2005;0;Below 1 % error-rate
2006;0,00462963;Below 1 % error-rate
2007;0,00166113;Below 1 % error-rate
2008;0,004385965;Below 1 % error-rate
2009;0,011607622;Between 1–5 % error-rate
2010;0;Below 1 % error-rate
2011;0;Below 1 % error-rate
2017;0;Below 1 % error-rate
2018;0;Below 1 % error-rate
2019;0;Below 1 % error-rate
2020;0,006097561;Below 1 % error-rate
