Year;Article title;Issue id;Article id;PDF filename;Complete article (annotated);Excess (text not belonging to article);Columns out of order;Sellected comments;;
1947;UNESCO faces two worlds;146744;146885;146744engo.pdf;y;n;y;Bad OCR;;
1948;Cameramen tell story of world social problems;73829;73841;073829engo.pdf;y;n;n;Title in middle of article, rest in correct order;;
1948;A Report on Tensions Meeting, as a psychiatrist saw it;73790;73797;073790engo.pdf;y;n;n;;;
1949;The Directives;74055;74083;074055engo.pdf;n;n;n;Some text not OCR middle;;
1949;Education: UNESCO's programme;74055;74092;074055engo.pdf;y;n;n;;;
1950;Science is everyone's business;74968;74254;074968engo.pdf;y;n;n;;;
1950;Science brings school to crippled children;81400;81424;081400engo.pdf;y;n;n;;;
1951;"Marcinelle: home of Belgium's biggest family""";71298;72960;071298engo.pdf;y;n;n;;;
1951;The Waters beneath;73557;73562;073557engo.pdf;y;n;n;;;
1952;The Riddle of our atmosphere;71048;71049;071048engo.pdf;y;y;n;Excess from another article;;
1952;Teaching world understanding in the geography class;71276;71274;071276engo.pdf;y;n;n;;;
1953;Books without chains: the story of libraries;70250;189447;070250engo.pdf;y;n;n;Caption in middle;;
1953;The Case for and against school TV;70196;70204;070196engo.pdf;y;n;y;;;
1954;Hawaii, racial crossroads of the Pacific;78141;69866;078141engo.pdf;y;n;n;;;
1954;Green light for education, from Afghanistan to the banks of the Nile;69982;69981;069982engo.pdf;y;n;n;;;
1955;The Desert's greatest resource: energy from the sun;69080;69045;069080engo.pdf;y;n;n;;;
1955;Water, water everywhere: did you know that?;68976;68965;068976engo.pdf;y;n;n;;;
1956;Poll reveals likes and dislikes;78152;68647;078152engo.pdf;y;n;n;;;
1956;The Unwanted travellers;68623;68641;068623engo.pdf;y;y;n;Small caption, maybe unrelated?;;
1957;The rights of 900 million children;67949;380125;067949engo.pdf;y;n;n;;;
1957;The Challenge of the spaceship;67956;67965;067956engo.pdf;y;n;n;;;
1958;Harmful animals: are they not hidden friends?;66148;66158;066148engo.pdf;y;n;n;;;
1958;The Earth as a planet';66121;66136;066121engo.pdf;y;n;n;;;
1959;Ancient chroniclers of West Africa's past: journeys of discovery through the 'country of the black people';66613;66052;066613engo.pdf;y;n;n;;;
1959;The U.S.S.R. fight to free its cities from air pollution;78165;64966;078165engo.pdf;y;n;n;;;
1960;A UNESCO vessel to sail the seas;64692;64615;064692engo.pdf;y;n;n;;;
1960;Expedition to the Indian Ocean;64692;64618;064692engo.pdf;y;y;n;Caption might be unrelated;;
1961;Readings from Tagore;64331;64289;064331engo.pdf;y;n;n;Text from image OCRed in excess;;
1961;A Tooth was the clue in a Hong Kong medicine shop;64092;64099;064092engo.pdf;y;n;n;;;
1962;The Story of the metric system: a centuries-old battle against chaos;78286;63554;078286engo.pdf;y;n;n;;;
1962;The Anatomy of underdevelopment: pt. 2, Patterns of economic change;78193;63637;078193engo.pdf;y;n;n;;;
1963;A Sputnik's eye view of the earth;62404;62418;062404engo.pdf;y;n;n;Bad OCR characters;;
1963;Stained glass: 400 years in one family;62706;62708;062706engo.pdf;n;n;n;Caption missing;;
1964;Galileo Galilei: A new vision of the universe;61952;380051;061952engo.pdf;n;n;n;Caption missing;;
1964;Great men, great events;62313;62307;062313engo.pdf;y;n;n;;;
1965;UNESCO and youth;60510;60546;060510engo.pdf;y;n;n;;;
1965;Two-thirds of world's books produced by twelve countries;60619;60625;060619engo.pdf;y;n;n;;;
1966;Sparking tomorrow's tourist explosion, 2: Peru;22703;25694;022703engo.pdf;y;n;n;;;
1966;For children only;78362;20802;078362engo.pdf;y;n;n;Bad OCR characters;;
1966;Hurdles in space broadcasting;20805;21218;020805engo.pdf;y;n;n;;;
1967;The Dawn of the geographic spirit;59709;59771;059709eng.pdf;y;n;n;Bad OCR characters;;
1967;Apartheid and the church;78449;59678;078449engo.pdf;y;n;n;;;
1968;Mammouth temples of southern India;78431;58982;078431engo.pdf;y;n;n;Bad OCR characters;;
1968;Dream come true? A second Panama Canal thanks to nuclear explosives?;78306;59037;078306engo.pdf;y;n;n;Bad OCR characters;;
1969;India moves towards self-sufficency in food;57783;57796;057783engo.pdf;y;n;n;;;
1969;Oriental music, Occidental music: the non-acceptance of the unfamiliar;78244;58103;078244engo.pdf;y;n;n;Bad OCR characters;;
1970;The Rising spiral of unemployment;56743;56749;056743engo.pdf;y;n;n;Bad OCR characters;;
1970;"Lepenski Vir; Europe's oldest settlement on the banks of the Danube";78378;56824;078378engo.pdf;y;n;n;Bad OCR characters;;
1971;Breakthrough to tomorrow;52879;52880;052879engo.pdf;y;y;n;Caption unclear if related to article or not;;
1971;25 years of UNESCO viewed by a student of 25;53853;187235;053853engo.pdf;y;n;n;Bad OCR characters;;
1972;Results of an inquiry in Sweden;78382;52073;078382engo.pdf;n;n;n;Caption missing;;
1972;Reading habits and book hunger;78271;51933;078271engo.pdf;y;n;n;Bad OCR characters;;
1973;Lawless frontiers of modern technology;74890;51339;074890engo.pdf;y;n;y;;;
1973;50 world weather records;74891;51711;074891engo.pdf;n;n;n;No text, more of an image that was badly OCRed;;
1974;How I perceive the world around me: the extraordinary story of a woman writer, blind and deaf from the age of five;74869;50228;074896engo.pdf;y;n;n;;;
1974;The Glaciers have been retreating for half a century;74868;50217;074868engo.pdf;y;n;n;;;
1975;Women students still outnumbered;74836;49759;074836engo.pdf;y;n;n;;;
1975;Doomsday for the world's tropical rain forests? Unless present trends are reversed virtually all the world's rain forests will disappear within 20 years;49738;49741;049738engo.pdf;y;n;n;;;
1976;A Third of the world in shantytowns;74825;49543;074825engo.pdf;y;n;y;Bad OCR characters;;
1976;Early man goes through the speech barrier;74828;49599;074828engo.pdf;y;n;n;;;
1977;Where gods and men have mingled;74814;46681;074814engo.pdf;y;n;n;;;
1977;The Acropolis in danger: an appeal by the Director-General of UNESCO, Amadou-Mahtar M'Bow;46520;46519;046520engo.pdf;y;n;n;;;
1978;"Energy for tomorrow's world; human ingenuity applied to the natural resources of the earth can ensure the energy needs of future generations";74804;45987;074804engo.pdf;y;n;n;;;
1978;Kiev, the mother of Russian cities;46076;46112;046076engo.pdf;y;n;n;Bad OCR characters;;
1979;China: a new medicine born of tradition;74776;44605;074776engo.pdf;y;n;n;;;
1979;Declaration of the rights of the child;74768;44012;074768engo.pdf;n;n;n;The article is with a font imitating child writing, it was not OCRed.;;
1980;Victory in Nubia: the Sudan, UNESCO and the world community in the greatest archaeological rescue campaign of all time, 1960-1980;74755;40925;074755engo.pdf;y;n;n;;;
1980;Unwritten wisdom;74758;41074;074758engo.pdf;y;n;n;;;
1981;In the avant-garde of literature, a new generation of Turkish women;74752;47571;074752engo.pdf;y;n;n;;;
1981;Seeing with my hands;74734;43640;074734engo.pdf;y;n;n;;;
1982;The Artistic inheritance;74715;48214;074715engo.pdf;y;n;n;;;
1982;The Poets of muslim Spain;74715;48237;074715engo.pdf;y;n;n;;;
1983;Anatomy of the computer;74689;53599;074689engo.pdf;n;n;n;Missing caption;;
1983;Robinson Crusoe goes to school: six pioneers of modern education;74692;54634;074692engo.pdf;y;n;y;;;
1984;The Fragile art of film;60718;60719;060718engo.pdf;y;n;n;;;
1984;Galaxies and quasars;60703;60708;060703engo.pdf;y;n;n;;;
1985;UNESCO's library and archives;62882;62742;062882engo.pdf;y;n;n;;;
1985;Tibet's Ge-sar epic;66321;65859;066321engo.pdf;y;n;n;;;
1986;My first steps in space;69416;69184;069416engo.pdf;y;n;n;;;
1986;In harmony with nature;70725;70718;070725engo.pdf;y;n;n;;;
1987;Class, caste and power;71682;71661;071682engo.pdf;y;n;n;;;
1987;"A Grain revolution; the impact of imported rice on millet-based African civilizations";73178;73103;073178engo.pdf;y;n;n;;;
1988;Who are the Australians? An Australian historian looks at his country's development in the 200 years since European settlement;81732;81722;081732engo.pdf;y;n;n;;;
1988;The Compassionate eye;79179;78966;079179engo.pdf;y;n;n;;;
1989;Project Tiger;82219;82217;082219engo.pdf;n;n;n;;;
1989;The Secret History of the Mongols;83935;83930;083935engo.pdf;y;n;n;;;
1990;S.O.S. lemurs! A new biosphere reserve in Madagascar;86461;86459;086461engo.pdf;y;n;n;;;
1990;The PC and the 3 Rs;86203;86197;086203engo.pdf;y;n;n;Bad OCR characters;;
1991;In the wake of Marco Polo;88998;89004;088998engo.pdf;y;y;n;Intro to article;;
1991;The Ghost ship of the Arctic;89116;89109;089116engo.pdf;y;n;n;;;
1992;Gorée, island of slaves;92573;92571;092573engo.pdf;y;y;n;Author description for another article;;
1992;What is democracy?;92651;92637;092651engo.pdf;y;n;n;Bad OCR characters;;
1993;"UNESCO and the human genome; commentary";93750;93748;093750engo.pdf;y;n;n;;;
1993;"Minorities; editorial by Federico Mayor";94420;94673;094420engo.pdf;y;n;n;;;
1994;Olexander Dovzhenko, poet of the seventh art;97246;97274;097246engo.pdf;y;n;n;;;
1994;A Continent of fear;98493;98438;098493engo.pdf;y;n;n;;;
1995;AIDS: a worldwide emergency;100263;100264;100263engo.pdf;y;n;n;;;
1995;Myths with the sun in them;98936;98944;098936engo.pdf;y;n;n;;;
1996;Friday in Carpentras;104902;104876;104902engo.pdf;y;n;n;;;
1997;Large dams;105695;105723;105695engo.pdf;y;n;n;;;
1997;Sacred mountains;109370;109423;109370engo.pdf;y;n;n;;;
1998;Progress for whom?;113355;113357;113355eng.pdf;y;n;n;;;
1998;Mission accomplished;113615;113631;113615eng.pdf;y;n;n;;;
1999;International radio makes new waves;118279;118299;118279eng.pdf;y;n;n;;;
1999;What's in a game?;115591;115598;115591eng.pdf;y;n;n;;;
2000;USA: commercials in the classroom;119473;119478;119473eng.pdf;y;n;n;;;
2000;Belarus: facing the disaster alone;120752;120756;120752eng.pdf;y;n;y;Intro text at the end;;
2001;A Tale of two dams;123798;123753;123798eng.pdf;y;n;n;;;
2001;"Towards a 'new world order of information'; a voice from the Third World";124785;124782;124785eng.pdf;y;n;n;;;
2002;Feast and famine for world heritage;127885;127889;127885eng.pdf;y;n;n;;;
2002;Quality and quantity;125736;125744;125736eng.pdf;y;n;y;;;
2003;Anna's quest;130036;130039;130036eng.pdf;y;n;n;;;
2003;Human rights and profit margins;132107;132179;132107engb.pdf;y;n;n;;;
2004;Small coastal cities: historical and pioneering;135045;135057;135045eng.pdf;y;n;y;;;
2004;Musical memories;138446;138448;138446eng.pdf;y;n;n;;;
2005;Seeking the right balance;142021;142042;142021eng.pdf;y;n;y;;;
2005;Baltic Sea: introduction to nature 101;139497;139498;139497eng.pdf;y;n;y;;;
2006;Post-conflict situations can be worse than the conflicts themselves;191575;210794;191575eng.pdf;y;n;n;;;
2006;Daycare in Colombia;191574;193864;191574eng.pdf;y;n;n;;;
2007;The Long-lasting memory of storybooks;185885;186104;185885eng.pdf;y;n;y;;;
2007;We need the best people as scientists;151580;151751;151580eng.pdf;y;n;n;;;
2008;From literacy to lifelong learning;179880;179883;179880eng.pdf;y;n;n;;;
2008;Why wildlife matters;189457;189836;189457eng.pdf;y;y;n;Bad OCR characters;;
2009;Coming to terms with climate change;189411;189464;189411eng.pdf;n;n;n;Little intro text missing;;
2009;A Subtle interplay of forces;186521;186536;186521eng.pdf;n;n;y;;;
2010;A Common search for greater humanity;189496;189541;189496eng.pdf;y;n;y;;;
2010;Haiti's new start will not be from zero;189496;189538;189496eng.pdf;n;y;n;Wrong article? ;;
2011;Mobile revolution;193773;193785;193773eng.pdf;y;n;y;;;
2011;Different dreams, yet...;193773;193791;193773eng.pdf;y;n;y;;;
2017;Peng Liyuan: the equality of opportunity is fundamental;248106;248105;248106eng.pdf;y;n;n;;;
2017;Developing a critical mind against fake news;252318;255360;252318eng.pdf;y;n;n;;;
2018;Against an individualistic impasse;265904;366378;265904eng.pdf;y;n;y;;;
2018;Ada E. Yonath: The challenge of science is like climbing Mount Everest;261279;261321;261279eng.pdf;y;n;y;;;
2019;Zéro carbone, à commencer par les villes!;370032;370331;370032eng.pdf;y;n;y;;;
2019;Sauver les paysages urbains: l'Île de Mozambique;367693;367844;367693eng.pdf;y;n;n;;;
2020;La crise sanitaire, terreau fertile de la désinformation;373788;373873;373788eng.pdf;y;n;y;;;
2020;Pour un nouveau pacte social en Amérique latine;373788;373872;373788eng.pdf;y;n;y;;;
;;;;;;;;;;
;;;;Total error occurrences;11;8;20;;;
;;;;% error occurrences;8,02919708;5,839416058;14,59854015;;;
